"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"beta","gr",0.146981429487463,0.027776,0.2,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"lambda","pm",0.624908832999023,0.182528,1,66,"2pl","normal",100,25,0.5,3,"gaussian","success",60.6542146205902
"theta","pm",0.739060589399612,0.073162,0.28,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"theta","cb",0.679446994764918,0.073162,0.22,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"theta","gr",0.686119928239769,0.073236,0.2,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"beta","pm",0.146208886707418,0.03008,0.24,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"beta","cb",0.124754629837357,0.03008,0.2,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"beta","gr",0.145373812069267,0.027904,0.24,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"lambda","pm",0.618018874595228,0.178944,1,66,"2pl","normal",100,25,0.5,3,"dp_broad","success",111.580635547638
"theta","pm",0.740005379518767,0.074466,0.27,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"theta","cb",0.680398203641232,0.074466,0.21,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"theta","gr",0.686298815864307,0.074308,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"beta","pm",0.144418421198319,0.028928,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"beta","cb",0.126504577208988,0.028928,0.16,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"beta","gr",0.152003831741542,0.0288,0.2,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"lambda","pm",0.620968268237095,0.183168,1,66,"2pl","normal",100,25,0.5,3,"dp_focused","success",111.999750375748
"theta","pm",0.173272142547561,0.009936,0.16,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"theta","cb",0.231993008129747,0.009936,0.18,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"theta","gr",0.239806895958161,0.009872,0.16,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"beta","pm",0.251923501561642,0.022912,0.28,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"beta","cb",0.336647446263112,0.022912,0.28,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"beta","gr",0.318408268519285,0.022912,0.24,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"lambda","pm",0.302727670960693,0.106496,0.4,105,"2pl","skew_pos",50,25,0.9,1,"gaussian","success",51.3904430866241
"theta","pm",0.204795899872329,0.009632,0.18,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"theta","cb",0.284120646596137,0.009632,0.2,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"theta","gr",0.267103268022574,0.010016,0.16,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"beta","pm",0.251555711443521,0.02304,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"beta","cb",0.334319335926142,0.02304,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"beta","gr",0.321424697484668,0.02304,0.24,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"lambda","pm",0.302169170031538,0.10432,0.4,105,"2pl","skew_pos",50,25,0.9,1,"dp_broad","success",89.3839914798737
"theta","pm",0.197720354186608,0.009744,0.16,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"theta","cb",0.272486512155444,0.009744,0.2,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"theta","gr",0.258927170039258,0.009552,0.16,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"beta","pm",0.251979632140614,0.021888,0.24,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"beta","cb",0.334872151439319,0.021888,0.28,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"beta","gr",0.319986092369165,0.021888,0.24,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"lambda","pm",0.298367629977858,0.102656,0.4,105,"2pl","skew_pos",50,25,0.9,1,"dp_focused","success",89.5503013134003
"theta","pm",0.468358130587507,0.016512,0.2,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"theta","cb",0.58002341256911,0.016512,0.2,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"theta","gr",0.5389200635758,0.016528,0.18,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"beta","pm",0.331866128942882,0.015872,0.28,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"beta","cb",0.430392644901763,0.015872,0.32,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"beta","gr",0.432579166587749,0.016256,0.24,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"lambda","pm",0.343778243911454,0.088704,0.4,105,"2pl","skew_pos",50,25,0.9,2,"gaussian","success",52.2271950244904
"theta","pm",0.509113722165321,0.017488,0.22,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"theta","cb",0.633425729704062,0.017488,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"theta","gr",0.587178961897142,0.017504,0.2,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"beta","pm",0.327374243481485,0.016,0.28,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"beta","cb",0.425760976604624,0.016,0.32,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"beta","gr",0.425264406338018,0.016256,0.24,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"lambda","pm",0.338912821447752,0.082944,0.4,105,"2pl","skew_pos",50,25,0.9,2,"dp_broad","success",94.0406849384308
"theta","pm",0.518687100029661,0.017392,0.22,105,"2pl","skew_pos",50,25,0.9,2,"dp_focused","success",91.6387100219727
