"parameter","method","msel","mselr","ks","condition_id","irt_model","latent_shape","N","I","target_rho","rep_id","prior","status","time_secs"
"beta","cb",0.364492979552657,0.0192,0.4,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"beta","gr",0.40454490727153,0.017792,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"lambda","pm",0.245619154372232,0.079616,0.36,105,"2pl","skew_pos",50,25,0.9,3,"dp_broad","success",74.9021410942078
"theta","pm",0.139198239157978,0.011696,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"theta","cb",0.172658884070756,0.011696,0.22,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"theta","gr",0.16820943862707,0.011712,0.18,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"beta","pm",0.249503944153053,0.018304,0.32,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"beta","cb",0.36499181470384,0.018304,0.4,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"beta","gr",0.406422590580295,0.016896,0.24,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
"lambda","pm",0.248755689514096,0.079616,0.44,105,"2pl","skew_pos",50,25,0.9,3,"dp_focused","success",60.0001621246338
